language,speakers
ADI ,1611
AFGHANI/KABULI/PASHTO ,146
ANAL ,22
ANGAMI ,102
AO ,194
ARABIC/ARBI ,1021354
ASSAMESE,30115
BALTI ,113
BENGALI ,89322485
BHILI/BHILODI ,4943
BHOTIA ,5592
BHUMIJ ,27416
BISHNUPURIYA,2351
BODO ,45000
CHAKHESANG ,14
CHAKRU/CHOKRI ,29
CHANG ,233
COORGI/KODAGU ,1844
DEORI ,1
DIMASA ,80
DOGRI ,2985
ENGLISH ,17886718
GADABA ,35774
GANGTE ,21
GARO ,5787
GONDI,65568
GUJARATI,117216
HALABI,44676
HALAM ,61
HINDI ,141709350
HMAR,24
HO,1530980
JATAPU ,93
JUANG ,32000
KABUI ,45
KANNADA,9585
KARBI/MIKIR ,24
KASHMIRI ,2366
KHANDESHI,103
KHARIA ,289804
KHASI ,1142
KHEZHA ,248
KHIEMNUNGAN,6
KHOND/KONDH ,123580
KINNAURI ,23
KISAN ,222506
KOCH ,521
KODA/KORA ,49781
KOM,32
KONDA,2437
KONKANI,9170
KONYAK ,52
KORKU ,99
KORWA ,5786
KOYA ,148472
KUI ,1022106
KUKI,205
KURUKH/ORAON ,1455012
LADAKHI ,3277
LAHAULI ,32
LAHNDA ,213
LAKHER,32
LALUNG ,2
LEPCHA ,13067
LIANGMEI ,49
LIMBU ,2215
LOTHA ,138
LUSHAI/MIZO ,775
MAITHILI ,13876487
MALAYALAM,30483
MALTO ,237042
MANIPURI ,3371
MAO,120
MARAM,3
MARATHI ,42288
MARING ,13
MIRI/MISHING,16
MISHMI ,59
MOGH ,92
MONPA ,18
MUNDA,433658
MUNDARI ,1168569
NEPALI ,1358387
NICOBARESE ,7
NISSI/DAFLA ,10481
NOCTE ,9
ODIA ,40231087
OTHERS,479272
PAITE,58
PARJI ,10916
PHOM ,15
POCHURY,14
PUNJABI ,193575
RABHA ,14609
RAI ,3446
RENGMA ,16
SANGTAM ,10
SANSKRIT ,282193
SANTALI ,7358781
SAVARA,338885
SEMA,56
SHERPA ,1775
SHINA,13
SINDHI,15226
TAMANG ,5231
TAMIL ,40173
TANGKHUL ,103
TANGSA,5
TELUGU ,1058962
THADO ,115
TIBETAN ,10713
TRIPURI ,259
TULU ,1461
URDU,15167152
VAIPHEI ,40
WANCHO,10
YIMCHUNGRE,55
ZELIANG ,10
ZEMI ,4
ZOU ,17
