language,speakers
ADI ,246501
AFGHANI/KABULI/PASHTO ,399
ANAL ,27475
ANGAMI ,180054
AO ,269149
ARABIC/ARBI ,26092
ASSAMESE,23497578
BALTI ,6
BENGALI ,15914819
BHILI/BHILODI ,3595
BHOTIA ,109197
BHUMIJ ,2307
BISHNUPURIYA,78676
BODO ,1511613
CHAKHESANG ,20850
CHAKRU/CHOKRI ,93722
CHANG ,68308
COORGI/KODAGU ,44
DEORI ,34312
DIMASA ,138469
DOGRI ,7982
ENGLISH ,5540618
GADABA ,1
GANGTE ,22967
GARO ,1180871
GONDI,6839
GUJARATI,13007
HALABI,20
HALAM ,33743
HINDI ,11038404
HMAR,109048
HO,644
JATAPU ,15
JUANG ,1
KABUI ,126406
KANNADA,6727
KARBI/MIKIR ,550947
KASHMIRI ,990
KHANDESHI,11
KHARIA ,14061
KHASI ,1537814
KHEZHA ,42379
KHIEMNUNGAN,62166
KHOND/KONDH ,255
KINNAURI ,15
KISAN ,940
KOCH ,36422
KODA/KORA ,211
KOM,15312
KONDA,105
KONKANI,874
KONYAK ,245257
KORKU ,9
KORWA ,518
KOYA ,372
KUI ,588
KUKI,87446
KURUKH/ORAON ,98657
LADAKHI ,191
LAHAULI ,13
LAHNDA ,40
LAKHER,44110
LALUNG ,35005
LEPCHA ,39808
LIANGMEI ,51094
LIMBU ,41768
LOTHA ,180672
LUSHAI/MIZO ,959105
MAITHILI ,14234
MALAYALAM,48193
MALTO ,480
MANIPURI ,2216322
MAO,240171
MARAM,32629
MARATHI ,45184
MARING ,25858
MIRI/MISHING,659205
MISHMI ,43972
MOGH ,37655
MONPA ,22146
MUNDA,93117
MUNDARI ,27111
NEPALI ,1514689
NICOBARESE ,29010
NISSI/DAFLA ,400506
NOCTE ,30818
ODIA ,314870
OTHERS,767819
PAITE,99566
PARJI ,5797
PAWI ,31150
PHOM ,54734
POCHURY,21783
PUNJABI ,46033
RABHA ,137010
RAI ,14251
RENGMA ,65142
SANGTAM ,79838
SANSKRIT ,10104
SANTALI ,227317
SAVARA,11320
SEMA,12238
SHERPA ,14936
SHINA,108
SINDHI,22826
TAMANG ,17195
TAMIL ,79719
TANGKHUL ,187513
TANGSA,38843
TELUGU ,91752
THADO ,245685
TIBETAN ,11004
TRIPURI ,1033785
TULU ,317
URDU,35873
VAIPHEI ,52540
WANCHO,59607
YIMCHUNGRE,88205
ZELIANG ,64060
ZEMI ,51426
ZOU ,37172
