language,speakers
ADI ,1338
AFGHANI/KABULI/PASHTO ,21390
ANAL ,152
ANGAMI ,148
AO ,228
ARABIC/ARBI ,71911
ASSAMESE,32686
BALTI ,15712
BENGALI ,559599
BHILI/BHILODI ,6979
BHOTIA ,121264
BHUMIJ ,24
BISHNUPURIYA,103
BODO ,1512
CHAKHESANG ,9
CHAKRU/CHOKRI ,7
CHANG ,34
COORGI/KODAGU ,181
DEORI ,6
DIMASA ,60
DOGRI ,2734323
ENGLISH ,21632370
GADABA ,5
GANGTE ,121
GARO ,257
GONDI,459
GUJARATI,113504
HALABI,67
HALAM ,6652
HINDI ,76762186
HMAR,281
HO,401
JATAPU ,5
KABUI ,235
KANNADA,29874
KARBI/MIKIR ,22
KASHMIRI ,6960441
KHANDESHI,52179
KHARIA ,952
KHASI ,1738
KHEZHA ,88
KHIEMNUNGAN,10
KHOND/KONDH ,12
KINNAURI ,83964
KISAN ,40
KOCH ,1
KODA/KORA ,13
KOM,37
KONDA,74
KONKANI,3001
KONYAK ,38
KORKU ,127
KORWA ,79
KUI ,1
KUKI,930
KURUKH/ORAON ,7849
LADAKHI ,14765
LAHAULI ,11209
LAHNDA ,73284
LAKHER,44
LEPCHA ,198
LIANGMEI ,47
LIMBU ,12
LOTHA ,120
LUSHAI/MIZO ,2263
MAITHILI ,253098
MALAYALAM,135830
MALTO ,51
MANIPURI ,9697
MAO,264
MARAM,11
MARATHI ,109144
MARING ,26
MIRI/MISHING,26
MISHMI ,35
MOGH ,58
MONPA ,193
MUNDA,4647
MUNDARI ,2219
NEPALI ,342061
NICOBARESE ,14
NISSI/DAFLA ,8579
NOCTE ,34
ODIA ,86868
OTHERS,93819
PAITE,613
PARJI ,5
PHOM ,17
POCHURY,15
PUNJABI ,31897714
RABHA ,22
RAI ,285
RENGMA ,519
SANGTAM ,14
SANSKRIT ,254631
SANTALI ,2782
SAVARA,120
SEMA,39
SHERPA ,605
SHINA,35563
SINDHI,46522
TAMANG ,679
TAMIL ,142309
TANGKHUL ,435
TANGSA,18
TELUGU ,71151
THADO ,288
TIBETAN ,139129
TRIPURI ,485
TULU ,862
URDU,6016210
VAIPHEI ,109
WANCHO,20
YIMCHUNGRE,23
ZELIANG ,1
ZEMI ,28
ZOU ,87
