language,speakers
ADI ,372
AFGHANI/KABULI/PASHTO ,80
ANAL ,19
ANGAMI ,117
AO ,102
ARABIC/ARBI ,456965
ASSAMESE,24312
BENGALI ,279367
BHILI/BHILODI ,13605
BHOTIA ,1078
BHUMIJ ,27
BISHNUPURIYA,15
BODO ,1317
CHAKHESANG ,3
CHAKRU/CHOKRI ,20
CHANG ,11
COORGI/KODAGU ,146117
DEORI ,25
DIMASA ,435
DOGRI ,3182
ENGLISH ,38708546
GADABA ,9730
GANGTE ,16
GARO ,344
GONDI,225121
GUJARATI,496007
HALABI,94
HALAM ,16
HINDI ,22773190
HMAR,45
HO,75
JATAPU ,28724
KABUI ,94
KANNADA,56832981
KARBI/MIKIR ,56
KASHMIRI ,5818
KHANDESHI,526
KHARIA ,186
KHASI ,565
KHEZHA ,24
KHIEMNUNGAN,6
KHOND/KONDH ,50449
KINNAURI ,80
KISAN ,8
KOCH ,14
KODA/KORA ,346
KOLAMI ,39761
KOM,96
KONDA,67341
KONKANI,963407
KONYAK ,12
KORKU ,36
KORWA ,547
KOYA ,276603
KUI ,2329
KUKI,261
KURUKH/ORAON ,1438
LADAKHI ,718
LAHAULI ,55
LAHNDA ,6506
LAKHER,143
LEPCHA ,40
LIANGMEI ,17
LIMBU ,7
LOTHA ,73
LUSHAI/MIZO ,939
MAITHILI ,6127
MALAYALAM,34832930
MALTO ,92
MANIPURI ,7304
MAO,73
MARAM,17
MARATHI ,4039611
MARING ,10
MIRI/MISHING,8
MISHMI ,6
MOGH ,52
MONPA ,802
MUNDA,528
MUNDARI ,210
NEPALI ,46365
NICOBARESE ,252
NISSI/DAFLA ,114
NOCTE ,2
ODIA ,600315
OTHERS,518915
PAITE,159
PARJI ,447
PHOM ,3
POCHURY,68
PUNJABI ,71722
RABHA ,26
RAI ,4
RENGMA ,7
SANGTAM ,5
SANSKRIT ,67275
SANTALI ,892
SAVARA,89168
SEMA,114
SHERPA ,27
SHINA,3
SINDHI,39404
TAMANG ,8
TAMIL ,75672188
TANGKHUL ,240
TANGSA,65
TELUGU ,91349664
THADO ,576
TIBETAN ,31367
TRIPURI ,194
TULU ,2489850
URDU,15974034
VAIPHEI ,159
WANCHO,8
YIMCHUNGRE,5
ZELIANG ,5
ZEMI ,85
ZOU ,55
