language,speakers
ADI ,1176
AFGHANI/KABULI/PASHTO ,510
ANAL ,37
ANGAMI ,206
AO ,61
ARABIC/ARBI ,72770
ASSAMESE,26039
BALTI ,29
BENGALI ,667032
BHILI/BHILODI ,6908666
BHOTIA ,168
BHUMIJ ,70
BISHNUPURIYA,41
BODO ,746
CHAKHESANG ,3
CHAKRU/CHOKRI ,67
CHANG ,47
COORGI/KODAGU ,733
DEORI ,13
DIMASA ,40
DOGRI ,10078
ENGLISH ,7995341
GADABA ,9
GANGTE ,23
GARO ,235
GONDI,537824
GUJARATI,58511376
HALABI,29930
HALAM ,116
HINDI ,145877364
HMAR,12
HO,2280
JATAPU ,2
KABUI ,77
KANNADA,1696185
KARBI/MIKIR ,30
KASHMIRI ,15782
KHANDESHI,2213027
KHARIA ,627
KHASI ,364
KHEZHA ,38
KHIEMNUNGAN,10
KHOND/KONDH ,35
KINNAURI ,69
KISAN ,44
KOCH ,58
KODA/KORA ,82
KOLAMI ,97840
KOM,160
KONDA,43
KONKANI,1537208
KONYAK ,9
KORKU ,260392
KORWA ,1666
KOYA ,51
KUI ,10
KUKI,428
KURUKH/ORAON ,9300
LADAKHI ,398
LAHAULI ,11
LAHNDA ,28402
LAKHER,174
LEPCHA ,10
LIANGMEI ,95
LIMBU ,22
LOTHA ,37
LUSHAI/MIZO ,711
MAITHILI ,83109
MALAYALAM,483082
MALTO ,12
MANIPURI ,7283
MAO,611
MARAM,12
MARATHI ,90390250
MARING ,2
MIRI/MISHING,42
MISHMI ,46
MOGH ,36
MONPA ,8
MUNDA,3943
MUNDARI ,699
NEPALI ,122840
NICOBARESE ,4
NISSI/DAFLA ,198
NOCTE ,6
ODIA ,359667
OTHERS,760055
PAITE,110
PARJI ,51
PAWI ,1
PHOM ,1
POCHURY,12
PUNJABI ,2846088
RABHA ,2099
RAI ,284
RENGMA ,1
SANGTAM ,1
SANSKRIT ,429492
SANTALI ,110278
SAVARA,107
SEMA,86
SHERPA ,7
SHINA,18
SINDHI,2490823
TAMANG ,66
TAMIL ,593217
TANGKHUL ,189
TANGSA,27
TELUGU ,1614173
THADO ,96
TIBETAN ,1171
TRIPURI ,604
TULU ,127466
URDU,9706867
VAIPHEI ,18
WANCHO,8
YIMCHUNGRE,28
ZELIANG ,3
ZEMI ,73
ZOU ,9
