language,speakers
ADI ,564
AFGHANI/KABULI/PASHTO ,306
ANAL ,13
ANGAMI ,55
AO ,43
ARABIC/ARBI ,651122
ASSAMESE,17146
BALTI ,6
BENGALI ,708019
BHILI/BHILODI ,3620422
BHOTIA ,374
BHUMIJ ,78
BISHNUPURIYA,13
BODO ,440
CHAKHESANG ,6
CHAKRU/CHOKRI ,5
CHANG ,51
COORGI/KODAGU ,277
DEORI ,8
DIMASA ,59
DOGRI ,5277
ENGLISH ,17358869
GADABA ,7
GANGTE ,20
GARO ,63
GONDI,2374680
GUJARATI,356416
HALABI,928987
HALAM ,11
HINDI ,288064258
HMAR,1
HO,4151
JATAPU ,1
KABUI ,22
KANNADA,17086
KARBI/MIKIR ,5
KASHMIRI ,8897
KHANDESHI,40531
KHARIA ,7207
KHASI ,93
KHEZHA ,10
KHOND/KONDH ,24
KINNAURI ,34
KISAN ,14
KOCH ,3
KODA/KORA ,20
KOLAMI ,1
KOM,6
KONDA,69
KONKANI,1556
KORKU ,482356
KORWA ,21862
KOYA ,740
KUI ,93
KUKI,249
KURUKH/ORAON ,541768
LADAKHI ,158
LAHAULI ,334
LAHNDA ,10611
LAKHER,63
LEPCHA ,32
LIANGMEI ,2
LIMBU ,8
LOTHA ,41
LUSHAI/MIZO ,462
MAITHILI ,49677
MALAYALAM,102644
MALTO ,396
MANIPURI ,2996
MAO,26
MARAM,4
MARATHI ,1758413
MARING ,3
MIRI/MISHING,7
MISHMI ,278
MOGH ,8
MONPA ,7
MUNDA,5127
MUNDARI ,1439
NEPALI ,49519
NISSI/DAFLA ,235
NOCTE ,1
ODIA ,994404
OTHERS,255264
PAITE,25
PARJI ,50927
PAWI ,5
PHOM ,2
POCHURY,50
PUNJABI ,1003705
RABHA ,45
RAI ,16
RENGMA ,1
SANGTAM ,6
SANSKRIT ,1953876
SANTALI ,20159
SAVARA,82
SEMA,39
SHERPA ,7
SHINA,14
SINDHI,452148
TAMANG ,1
TAMIL ,54408
TANGKHUL ,34
TANGSA,6
TELUGU ,237347
THADO ,206
TIBETAN ,1385
TRIPURI ,128
TULU ,1318
URDU,16094402
VAIPHEI ,21
WANCHO,16
YIMCHUNGRE,7
ZELIANG ,11
ZEMI ,8
ZOU ,15
